lm0_x,lm0_y,lm0_z,lm0_vis,lm2_x,lm2_y,lm2_z,lm2_vis,lm5_x,lm5_y,lm5_z,lm5_vis,lm7_x,lm7_y,lm7_z,lm7_vis,lm8_x,lm8_y,lm8_z,lm8_vis,lm11_x,lm11_y,lm11_z,lm11_vis,lm12_x,lm12_y,lm12_z,lm12_vis,lm13_x,lm13_y,lm13_z,lm13_vis,lm14_x,lm14_y,lm14_z,lm14_vis,lm23_x,lm23_y,lm23_z,lm23_vis,lm24_x,lm24_y,lm24_z,lm24_vis,feat_nose_to_shoulder_y,feat_ear_to_shoulder_y,feat_shoulder_width,feat_shoulder_roll,feat_torso_length,label,subject_id
-0.014662593603134155,-0.01638251543045044,0.03348785638809204,1.1920928955078125e-06,-0.01168757677078247,-0.02839234471321106,0.043418943881988525,-2.1636486053466797e-05,-0.017834901809692383,-0.026479721069335938,0.03798776865005493,-7.748603820800781e-06,-0.0047147274017333984,-0.029128611087799072,0.07789161801338196,-1.33514404296875e-05,-0.010719984769821167,-0.024138063192367554,0.04574185609817505,-2.9802322387695312e-05,0.017214477062225342,-0.004024207592010498,0.0709945559501648,0.0019898414611816406,0.003816276788711548,-0.003603518009185791,-0.052859894931316376,-0.000209808349609375,0.004719913005828857,-0.039629220962524414,0.5321112275123596,-0.09122657775878906,0.00847604125738144,-0.011830806732177734,-0.17483285069465637,-0.20169836282730103,0.0009791851043701172,0.022293567657470703,0.048317521810531616,5.503262218553573e-05,-0.008303582668304443,0.01298367977142334,-0.048514336347579956,4.5154723920859396e-05,-0.0037903112741941025,-0.015061543730981342,0.013398200273513794,-0.00042068958282470703,0.021452486515045166,good_posture,S001
-0.014135509729385376,-0.01657465100288391,0.0456807017326355,6.496906280517578e-06,-0.0116615891456604,-0.026654928922653198,0.05586367845535278,-9.059906005859375e-06,-0.016373783349990845,-0.026097655296325684,0.05116426944732666,2.9206275939941406e-06,-0.004673957824707031,-0.025256425142288208,0.09934365749359131,5.364418029785156e-07,-0.009194731712341309,-0.023822307586669922,0.0715002715587616,-1.6808509826660156e-05,0.008467614650726318,-0.005546510219573975,0.09909448027610779,0.0021370649337768555,0.001351386308670044,-0.009892821311950684,0.01062890887260437,-0.00010687112808227539,0.0030655860900878906,-0.036853909492492676,0.24051272869110107,-0.06547918915748596,0.00803634524345398,-0.03521108627319336,-0.18749061226844788,-0.1756342053413391,-0.007122159004211426,0.0002976655960083008,0.030767932534217834,4.867489042226225e-05,-0.0095902681350708,-0.01596224308013916,-0.030471071600914,3.877513518091291e-05,-0.010358520972122642,-0.01962685938751335,0.007116228342056274,0.004346311092376709,-0.00011262297630310059,good_posture,S001
-0.010617315769195557,-0.00769495964050293,0.26612401008605957,1.2576580047607422e-05,-0.009296655654907227,-0.010358273983001709,0.26774120330810547,2.9206275939941406e-06,-0.01019960641860962,-0.016717910766601562,0.2573365569114685,1.4603137969970703e-05,-0.0036568641662597656,-0.008832216262817383,0.25562232732772827,1.3947486877441406e-05,-0.005508631467819214,-0.015511810779571533,0.20298882573843002,-2.5033950805664062e-06,0.004699647426605225,-0.0024715065956115723,0.21265670657157898,0.0024233460426330566,0.0011366307735443115,-0.010043621063232422,0.07030460238456726,0.0001602768898010254,-0.012433767318725586,-0.03269541263580322,0.2621932625770569,-0.05368110537528992,0.02983810007572174,-0.034877777099609375,-0.06046590209007263,-0.15350264310836792,-0.01305311918258667,-0.0031012296676635742,0.036336421966552734,4.4031956349499524e-05,-0.011109858751296997,-0.017794013023376465,-0.03617551922798157,3.5904377000406384e-05,-0.003787470604050547,-0.009094055944478041,0.003563016653060913,0.00757211446762085,-0.0041900575160980225,good_posture,S001
-0.009766876697540283,-0.004324913024902344,0.27367162704467773,9.47713851928711e-06,-0.009189069271087646,-0.0034978389739990234,0.27587074041366577,-5.4836273193359375e-06,-0.007762014865875244,-0.010510951280593872,0.2663429379463196,7.927417755126953e-06,-0.0036244988441467285,-0.0006265640258789062,0.2547326385974884,3.814697265625e-06,-0.002670198678970337,-0.008605033159255981,0.20568766072392464,-6.318092346191406e-06,-0.0015184879302978516,-0.00045871734619140625,0.2064451277256012,0.002196013927459717,0.0018357038497924805,-0.01022493839263916,0.06721141934394836,0.0003040432929992676,-0.019880712032318115,-0.026270747184753418,0.29377126693725586,-0.04924526810646057,0.028997987508773804,-0.04452073574066162,-0.04429754614830017,-0.1319347620010376,-0.016616344451904297,-0.0070209503173828125,0.04079796373844147,3.6891811760142446e-05,-0.011430174112319946,-0.021932601928710938,-0.04061131179332733,3.050154191441834e-05,-0.00342503986286391,-0.003927178443670687,-0.003354191780090332,0.009766221046447754,-0.009134948253631592,good_posture,S001
-0.009410440921783447,-0.0020503997802734375,0.29052573442459106,9.47713851928711e-06,-0.00922161340713501,-0.0003476142883300781,0.2883930802345276,-7.569789886474609e-06,-0.0068798065185546875,-0.006217151880264282,0.2821120619773865,9.238719940185547e-06,-0.0036334991455078125,0.0014860332012176514,0.25648805499076843,2.2649765014648438e-06,-0.0013534128665924072,-0.0036600828170776367,0.22614183090627193,-1.2516975402832031e-06,-0.0021966099739074707,-0.0012418627738952637,0.21318486332893372,0.0020865201950073242,0.003288835287094116,-0.010229051113128662,0.09336322546005249,0.0004912018775939941,-0.0034107565879821777,-0.0512542724609375,0.34413647651672363,-0.03542134165763855,0.03334919363260269,-0.04319131374359131,0.009552627801895142,-0.10674828290939331,-0.016289114952087402,-0.0175018310546875,0.038629546761512756,3.178518090862781e-05,-0.010326802730560303,-0.0257415771484375,-0.0384942889213562,2.848709118552506e-05,-0.0037325293308265173,-0.002871450403576281,-0.005485445261001587,0.008987188339233398,-0.015886247158050537,good_posture,S001
-0.00849074125289917,0.003261089324951172,0.20334118604660034,1.2278556823730469e-05,-0.008991420269012451,0.0035352706909179688,0.20807963609695435,0.0,-0.005466371774673462,-0.0011852383613586426,0.1982896327972412,1.5556812286376953e-05,-0.002577841281890869,0.003998428583145142,0.20661258697509766,1.0609626770019531e-05,0.0011125504970550537,0.003181666135787964,0.1638791561126709,5.185604095458984e-06,-0.001675426959991455,-0.002321898937225342,0.1745130717754364,0.0024901628494262695,0.011867493391036987,-0.010738790035247803,0.07406265288591385,0.0007285475730895996,-0.004963397979736328,-0.044494032859802246,0.37299442291259766,-0.029877379536628723,0.0357770174741745,-0.053786396980285645,0.022824913263320923,-0.08450877666473389,-0.016100764274597168,-0.022594213485717773,0.03874465823173523,4.19852149207145e-05,-0.004720062017440796,-0.0315321683883667,-0.03886862099170685,4.9949914682656527e-05,0.0011417299505866452,0.0011689604918853624,-0.013542920351028442,0.008416891098022461,-0.020532846450805664,good_posture,S001
-0.007217884063720703,0.0058577656745910645,0.19927316904067993,6.556510925292969e-06,-0.007966876029968262,0.005239367485046387,0.2024778127670288,-5.0067901611328125e-06,-0.0037553012371063232,0.0004731118679046631,0.19398027658462524,6.973743438720703e-06,-0.0011091828346252441,0.005765259265899658,0.20072609186172485,7.62939453125e-06,0.002791762351989746,0.004508078098297119,0.1575322225689888,-1.9073486328125e-06,-0.0015817880630493164,-0.001626729965209961,0.17651745676994324,0.002454221248626709,0.010597944259643555,-0.013577044010162354,0.06724461913108826,0.0007450580596923828,-0.009677886962890625,-0.04284465312957764,0.3811594247817993,-0.023103490471839905,0.03413623571395874,-0.0803213119506836,0.003255993127822876,-0.0653572678565979,-0.02245265245437622,-0.02470088005065918,0.039247751235961914,5.185928603168577e-05,-0.005282461643218994,-0.04250335693359375,-0.039438918232917786,6.513392145279795e-05,0.002727962366591452,0.0013979943334998524,-0.012179732322692871,0.011950314044952393,-0.026000231504440308,good_posture,S001
-0.006768286228179932,0.00637584924697876,0.2341178059577942,3.3974647521972656e-06,-0.007902681827545166,0.005459815263748169,0.23403626680374146,-7.569789886474609e-06,-0.003244161605834961,0.0010108649730682373,0.22616147994995117,4.172325134277344e-07,-0.0006389617919921875,0.0062319934368133545,0.2136918604373932,7.450580596923828e-06,0.0038491487503051758,0.005027502775192261,0.1694374829530716,-7.331371307373047e-06,-0.0014159679412841797,-0.003071904182434082,0.17888331413269043,0.002752959728240967,0.010097265243530273,-0.015328943729400635,0.06057952344417572,0.0008702874183654785,-0.014659404754638672,-0.02051711082458496,0.38308411836624146,-0.018595725297927856,0.033491864800453186,-0.0900338888168335,-0.014384716749191284,-0.05004739761352539,-0.022133588790893555,-0.02953791618347168,0.04207716882228851,5.526081076823175e-05,-0.0058927834033966064,-0.04797840118408203,-0.042268455028533936,7.069345156196505e-05,0.0034457921953286452,0.002016109227351126,-0.011513233184814453,0.012257039546966553,-0.029557734727859497,good_posture,S001
-0.006827414035797119,0.0060492753982543945,0.1161494255065918,6.67572021484375e-06,-0.007975935935974121,0.0049758851528167725,0.12682539224624634,0.0,-0.0033313333988189697,0.0007258951663970947,0.1170196533203125,7.212162017822266e-06,-0.0005999207496643066,0.005770206451416016,0.15343177318572998,1.6868114471435547e-05,0.004521399736404419,0.004624515771865845,0.09520132839679718,-1.3709068298339844e-06,-0.0013456940650939941,-0.002636730670928955,0.14674654603004456,0.0030652880668640137,0.009223490953445435,-0.01526939868927002,-0.004838787019252777,0.0009378790855407715,-0.016255497932434082,-0.037590980529785156,0.5148881077766418,-0.01859787106513977,0.024119310081005096,-0.0983574390411377,-0.15178707242012024,-0.03849756717681885,-0.021783769130706787,-0.02731478214263916,0.053716227412223816,6.225118704605848e-05,-0.005347222089767456,-0.04411780834197998,-0.05401785671710968,8.118613914120942e-05,0.004188586343784495,0.002686675749818457,-0.010569185018539429,0.012632668018341064,-0.026763230562210083,good_posture,S001
-0.0068555474281311035,0.005973458290100098,0.07740545272827148,1.2934207916259766e-05,-0.007985591888427734,0.004636615514755249,0.0932011604309082,1.2576580047607422e-05,-0.0033073127269744873,0.0004781484603881836,0.07728630304336548,1.9490718841552734e-05,-0.0004291534423828125,0.005416512489318848,0.14672988653182983,3.039836883544922e-05,0.004949808120727539,0.004388600587844849,0.060200855135917664,1.0907649993896484e-05,-0.001110076904296875,-0.0024857521057128906,0.14725038409233093,0.0034492015838623047,0.008586615324020386,-0.015414535999298096,-0.051949881948530674,0.0010184645652770996,-0.025256454944610596,-0.0475541353225708,0.6040520370006561,-0.018649250268936157,0.026381686329841614,-0.09330618381500244,-0.22928157448768616,-0.036301374435424805,-0.017514169216156006,-0.027556419372558594,0.07471737265586853,6.661134830210358e-05,-0.0026866495609283447,-0.042307496070861816,-0.07485812902450562,8.551460632588714e-05,0.0044934608028678324,0.002744249581444036,-0.00969669222831726,0.012928783893585205,-0.025981813669204712,good_posture,S001
